Moderations;Absorptions;Reflections;Detections;Escapes;Histories;Steps;Mean free path
5.00000e-001;1.63185e+005;7.28190e+003;3.00000e-001;8.81140e+003;1.79279e+005;7.37225e+000;5.00309e-003
5.55556e-002;9.48890e+001;1.25378e+001;5.09175e-002;1.08746e+001;9.49332e+001;1.69776e-003;5.91941e-007
